trajectory,Type,Size
"[([0, 0], [6, 3], False, 'p'), 'down', ([0, 1], [6, 3], False, 'p'), 'down', ([1, 1], [6, 3], False, 'p'), 'down', ([2, 1], [6, 3], False, 'p'), 'down', ([3, 1], [6, 3], False, 'p'), 'down', ([4, 1], [6, 3], False, 'p'), 'down', ([5, 1], [6, 3], False, 'p'), 'right', ([5, 2], [6, 3], False, 'p'), 'down', ([6, 2], [6, 3], False, 'p'), 'right', ([6, 3], [6, 3], False, 'p'), 'pick_up', ([6, 3], [6, 3], True, 'p'), 'right', ([6, 4], [6, 4], True, 'r'), 'right', ([6, 5], [6, 5], True, 'r'), 'right', ([6, 6], [6, 6], True, 'r'), 'right', ([6, 7], [6, 7], True, 'r'), 'right', ([7, 7], [7, 7], True, 'r'), 'right', ([7, 8], [7, 8], True, 'r'), 'right', ([7, 9], [7, 9], True, 'r'), 'right', ([7, 10], [7, 10], True, 'r'), 'right', ([7, 11], [7, 11], True, 'p'), 'right', ([7, 12], [7, 12], True, 'p'), 'right', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",severe,23
"[([0, 0], [12, 14], False, 'p'), 'right', ([0, 1], [12, 14], False, 'p'), 'right', ([0, 2], [12, 14], False, 'p'), 'right', ([1, 2], [12, 14], False, 'p'), 'right', ([1, 3], [12, 14], False, 'p'), 'right', ([1, 4], [12, 14], False, 'p'), 'down', ([2, 4], [12, 14], False, 'p'), 'right', ([2, 5], [12, 14], False, 'p'), 'down', ([3, 5], [12, 14], False, 'p'), 'right', ([3, 6], [12, 14], False, 'p'), 'down', ([4, 6], [12, 14], False, 'p'), 'right', ([4, 7], [12, 14], False, 'p'), 'down', ([5, 7], [12, 14], False, 'p'), 'right', ([5, 8], [12, 14], False, 'p'), 'down', ([6, 8], [12, 14], False, 'r'), 'right', ([7, 8], [12, 14], False, 'r'), 'right', ([7, 9], [12, 14], False, 'r'), 'right', ([7, 10], [12, 14], False, 'r'), 'down', ([7, 11], [12, 14], False, 'p'), 'down', ([8, 11], [12, 14], False, 'p'), 'down', ([9, 11], [12, 14], False, 'p'), 'right', ([9, 12], [12, 14], False, 'p'), 'down', ([10, 12], [12, 14], False, 'p'), 'right', ([11, 12], [12, 14], False, 'p'), 'right', ([11, 13], [12, 14], False, 'p'), 'down', ([11, 14], [12, 14], False, 'p'), 'down', ([11, 13], [12, 14], False, 'p'), 'down', ([12, 13], [12, 14], False, 'p'), 'right', ([12, 14], [12, 14], False, 'p'), 'pick_up', ([12, 14], [12, 14], True, 'p'), 'up', ([11, 14], [11, 14], True, 'p'), 'up', ([10, 14], [10, 14], True, 'p'), 'up', ([9, 14], [9, 14], True, 'p'), 'up', ([8, 14], [8, 14], True, 'p'), 'up', ([8, 13], [8, 13], True, 'p'), 'up', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",mild,37
"[([0, 0], [9, 2], False, 'p'), 'down', ([0, 1], [9, 2], False, 'p'), 'down', ([1, 1], [9, 2], False, 'p'), 'down', ([2, 1], [9, 2], False, 'p'), 'down', ([3, 1], [9, 2], False, 'p'), 'down', ([3, 2], [9, 2], False, 'p'), 'down', ([4, 2], [9, 2], False, 'p'), 'down', ([5, 2], [9, 2], False, 'p'), 'down', ([6, 2], [9, 2], False, 'p'), 'down', ([7, 2], [9, 2], False, 'p'), 'down', ([8, 2], [9, 2], False, 'p'), 'down', ([9, 2], [9, 2], False, 'p'), 'pick_up', ([9, 2], [9, 2], True, 'p'), 'right', ([9, 3], [9, 3], True, 'p'), 'right', ([9, 4], [9, 4], True, 'p'), 'right', ([9, 5], [9, 5], True, 'p'), 'right', ([9, 6], [9, 6], True, 'p'), 'right', ([9, 7], [9, 7], True, 'p'), 'right', ([9, 8], [9, 8], True, 'p'), 'up', ([8, 8], [8, 8], True, 'r'), 'up', ([7, 8], [7, 8], True, 'r'), 'right', ([7, 9], [7, 9], True, 'r'), 'right', ([7, 10], [7, 10], True, 'r'), 'right', ([7, 11], [7, 11], True, 'p'), 'right', ([7, 12], [7, 12], True, 'p'), 'right', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",mild,27
"[([0, 0], [9, 2], False, 'p'), 'down', ([0, 1], [9, 2], False, 'p'), 'down', ([1, 1], [9, 2], False, 'p'), 'down', ([1, 2], [9, 2], False, 'p'), 'down', ([2, 2], [9, 2], False, 'p'), 'down', ([3, 2], [9, 2], False, 'p'), 'down', ([4, 2], [9, 2], False, 'p'), 'down', ([5, 2], [9, 2], False, 'p'), 'down', ([6, 2], [9, 2], False, 'p'), 'down', ([7, 2], [9, 2], False, 'p'), 'down', ([8, 2], [9, 2], False, 'p'), 'down', ([9, 2], [9, 2], False, 'p'), 'pick_up', ([9, 2], [9, 2], True, 'p'), 'right', ([9, 3], [9, 3], True, 'p'), 'right', ([9, 4], [9, 4], True, 'p'), 'right', ([9, 5], [9, 5], True, 'p'), 'right', ([9, 6], [9, 6], True, 'p'), 'right', ([9, 7], [9, 7], True, 'p'), 'right', ([9, 8], [9, 8], True, 'p'), 'up', ([8, 8], [8, 8], True, 'r'), 'up', ([7, 8], [7, 8], True, 'r'), 'right', ([7, 9], [7, 9], True, 'r'), 'right', ([7, 10], [7, 10], True, 'r'), 'right', ([7, 11], [7, 11], True, 'p'), 'right', ([7, 12], [7, 12], True, 'p'), 'right', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",mild,27
"[([0, 0], [9, 2], False, 'p'), 'down', ([1, 0], [9, 2], False, 'p'), 'down', ([2, 0], [9, 2], False, 'p'), 'down', ([3, 0], [9, 2], False, 'p'), 'down', ([4, 0], [9, 2], False, 'p'), 'down', ([5, 0], [9, 2], False, 'p'), 'down', ([6, 0], [9, 2], False, 'p'), 'down', ([7, 0], [9, 2], False, 'p'), 'down', ([8, 0], [9, 2], False, 'p'), 'right', ([8, 1], [9, 2], False, 'p'), 'down', ([9, 1], [9, 2], False, 'p'), 'right', ([9, 2], [9, 2], False, 'p'), 'pick_up', ([9, 2], [9, 2], True, 'p'), 'right', ([9, 3], [9, 3], True, 'p'), 'right', ([9, 4], [9, 4], True, 'p'), 'right', ([9, 5], [9, 5], True, 'p'), 'right', ([9, 6], [9, 6], True, 'p'), 'right', ([10, 6], [10, 6], True, 'p'), 'right', ([10, 7], [10, 7], True, 'p'), 'right', ([10, 8], [10, 8], True, 'p'), 'up', ([9, 8], [9, 8], True, 'p'), 'up', ([8, 8], [8, 8], True, 'r'), 'up', ([7, 8], [7, 8], True, 'r'), 'right', ([7, 9], [7, 9], True, 'r'), 'right', ([7, 10], [7, 10], True, 'r'), 'right', ([7, 11], [7, 11], True, 'p'), 'right', ([7, 12], [7, 12], True, 'p'), 'right', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",mild,29
"[([0, 0], [7, 12], False, 'p'), 'right', ([0, 1], [7, 12], False, 'p'), 'right', ([0, 2], [7, 12], False, 'p'), 'right', ([0, 3], [7, 12], False, 'p'), 'right', ([0, 4], [7, 12], False, 'p'), 'right', ([0, 5], [7, 12], False, 'p'), 'right', ([0, 6], [7, 12], False, 'p'), 'down', ([1, 6], [7, 12], False, 'p'), 'right', ([1, 7], [7, 12], False, 'p'), 'down', ([2, 7], [7, 12], False, 'p'), 'right', ([2, 8], [7, 12], False, 'p'), 'down', ([3, 8], [7, 12], False, 'p'), 'right', ([3, 9], [7, 12], False, 'p'), 'down', ([4, 9], [7, 12], False, 'p'), 'right', ([4, 10], [7, 12], False, 'p'), 'down', ([5, 10], [7, 12], False, 'p'), 'down', ([6, 10], [7, 12], False, 'r'), 'right', ([6, 11], [7, 12], False, 'p'), 'down', ([7, 11], [7, 12], False, 'p'), 'right', ([7, 12], [7, 12], False, 'p'), 'pick_up', ([7, 12], [7, 12], True, 'p'), 'right', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",mild,23
"[([0, 0], [9, 8], False, 'p'), 'down', ([1, 0], [9, 8], False, 'p'), 'down', ([2, 0], [9, 8], False, 'p'), 'right', ([2, 1], [9, 8], False, 'p'), 'down', ([2, 2], [9, 8], False, 'p'), 'down', ([3, 2], [9, 8], False, 'p'), 'down', ([4, 2], [9, 8], False, 'p'), 'right', ([4, 3], [9, 8], False, 'p'), 'down', ([5, 3], [9, 8], False, 'p'), 'right', ([5, 4], [9, 8], False, 'p'), 'down', ([6, 4], [9, 8], False, 'r'), 'right', ([6, 5], [9, 8], False, 'r'), 'down', ([7, 5], [9, 8], False, 'r'), 'right', ([7, 6], [9, 8], False, 'r'), 'down', ([8, 6], [9, 8], False, 'r'), 'right', ([8, 7], [9, 8], False, 'r'), 'down', ([9, 7], [9, 8], False, 'p'), 'right', ([9, 8], [9, 8], False, 'p'), 'pick_up', ([9, 8], [9, 8], True, 'p'), 'up', ([8, 8], [8, 8], True, 'r'), 'up', ([7, 8], [7, 8], True, 'r'), 'right', ([7, 9], [7, 9], True, 'r'), 'right', ([7, 10], [7, 10], True, 'r'), 'right', ([7, 11], [7, 11], True, 'p'), 'right', ([8, 11], [8, 11], True, 'p'), 'up', ([7, 11], [7, 11], True, 'p'), 'right', ([7, 12], [7, 12], True, 'p'), 'right', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",severe,29
"[([0, 0], [6, 3], False, 'p'), 'down', ([1, 0], [6, 3], False, 'p'), 'down', ([1, 1], [6, 3], False, 'p'), 'down', ([2, 1], [6, 3], False, 'p'), 'down', ([3, 1], [6, 3], False, 'p'), 'down', ([4, 1], [6, 3], False, 'p'), 'down', ([5, 1], [6, 3], False, 'p'), 'right', ([5, 2], [6, 3], False, 'p'), 'down', ([6, 2], [6, 3], False, 'p'), 'right', ([6, 3], [6, 3], False, 'p'), 'pick_up', ([6, 3], [6, 3], True, 'p'), 'right', ([7, 3], [7, 3], True, 'p'), 'right', ([7, 4], [7, 4], True, 'r'), 'right', ([7, 5], [7, 5], True, 'r'), 'right', ([7, 6], [7, 6], True, 'r'), 'right', ([7, 7], [7, 7], True, 'r'), 'right', ([7, 8], [7, 8], True, 'r'), 'right', ([7, 9], [7, 9], True, 'r'), 'right', ([7, 10], [7, 10], True, 'r'), 'right', ([7, 11], [7, 11], True, 'p'), 'right', ([7, 12], [7, 12], True, 'p'), 'right', ([8, 12], [8, 12], True, 'p'), 'up', ([7, 12], [7, 12], True, 'p'), 'right', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",severe,25
"[([0, 0], [9, 2], False, 'p'), 'down', ([1, 0], [9, 2], False, 'p'), 'down', ([1, 1], [9, 2], False, 'p'), 'down', ([2, 1], [9, 2], False, 'p'), 'down', ([3, 1], [9, 2], False, 'p'), 'down', ([4, 1], [9, 2], False, 'p'), 'down', ([5, 1], [9, 2], False, 'p'), 'down', ([6, 1], [9, 2], False, 'p'), 'down', ([7, 1], [9, 2], False, 'p'), 'down', ([8, 1], [9, 2], False, 'p'), 'down', ([9, 1], [9, 2], False, 'p'), 'right', ([9, 2], [9, 2], False, 'p'), 'pick_up', ([9, 2], [9, 2], True, 'p'), 'right', ([9, 3], [9, 3], True, 'p'), 'right', ([9, 4], [9, 4], True, 'p'), 'right', ([9, 5], [9, 5], True, 'p'), 'right', ([9, 6], [9, 6], True, 'p'), 'right', ([9, 7], [9, 7], True, 'p'), 'right', ([9, 8], [9, 8], True, 'p'), 'up', ([8, 8], [8, 8], True, 'r'), 'up', ([8, 9], [8, 9], True, 'r'), 'up', ([7, 9], [7, 9], True, 'r'), 'right', ([7, 10], [7, 10], True, 'r'), 'right', ([8, 10], [8, 10], True, 'r'), 'up', ([7, 10], [7, 10], True, 'r'), 'right', ([7, 11], [7, 11], True, 'p'), 'right', ([8, 11], [8, 11], True, 'p'), 'up', ([7, 11], [7, 11], True, 'p'), 'right', ([7, 12], [7, 12], True, 'p'), 'right', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",mild,31
"[([0, 0], [9, 2], False, 'p'), 'down', ([1, 0], [9, 2], False, 'p'), 'down', ([2, 0], [9, 2], False, 'p'), 'down', ([3, 0], [9, 2], False, 'p'), 'down', ([4, 0], [9, 2], False, 'p'), 'down', ([5, 0], [9, 2], False, 'p'), 'down', ([6, 0], [9, 2], False, 'p'), 'down', ([7, 0], [9, 2], False, 'p'), 'down', ([8, 0], [9, 2], False, 'p'), 'right', ([8, 1], [9, 2], False, 'p'), 'down', ([9, 1], [9, 2], False, 'p'), 'right', ([9, 2], [9, 2], False, 'p'), 'pick_up', ([9, 2], [9, 2], True, 'p'), 'right', ([10, 2], [10, 2], True, 'p'), 'right', ([10, 3], [10, 3], True, 'p'), 'right', ([10, 4], [10, 4], True, 'p'), 'right', ([10, 5], [10, 5], True, 'p'), 'right', ([11, 5], [11, 5], True, 'p'), 'right', ([11, 6], [11, 6], True, 'p'), 'right', ([11, 7], [11, 7], True, 'p'), 'right', ([11, 8], [11, 8], True, 'p'), 'right', ([11, 9], [11, 9], True, 'p'), 'up', ([10, 9], [10, 9], True, 'p'), 'up', ([9, 9], [9, 9], True, 'p'), 'up', ([8, 9], [8, 9], True, 'r'), 'up', ([7, 9], [7, 9], True, 'r'), 'right', ([7, 10], [7, 10], True, 'r'), 'right', ([7, 11], [7, 11], True, 'p'), 'right', ([7, 12], [7, 12], True, 'p'), 'right', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",mild,31
"[([0, 0], [6, 3], False, 'p'), 'down', ([1, 0], [6, 3], False, 'p'), 'down', ([2, 0], [6, 3], False, 'p'), 'down', ([3, 0], [6, 3], False, 'p'), 'down', ([4, 0], [6, 3], False, 'p'), 'right', ([4, 1], [6, 3], False, 'p'), 'down', ([5, 1], [6, 3], False, 'p'), 'right', ([5, 2], [6, 3], False, 'p'), 'down', ([6, 2], [6, 3], False, 'p'), 'right', ([6, 3], [6, 3], False, 'p'), 'pick_up', ([6, 3], [6, 3], True, 'p'), 'right', ([6, 4], [6, 4], True, 'r'), 'right', ([6, 5], [6, 5], True, 'r'), 'right', ([7, 5], [7, 5], True, 'r'), 'right', ([7, 6], [7, 6], True, 'r'), 'right', ([7, 7], [7, 7], True, 'r'), 'right', ([7, 8], [7, 8], True, 'r'), 'right', ([7, 9], [7, 9], True, 'r'), 'right', ([7, 10], [7, 10], True, 'r'), 'right', ([8, 10], [8, 10], True, 'r'), 'up', ([7, 10], [7, 10], True, 'r'), 'right', ([7, 11], [7, 11], True, 'p'), 'right', ([7, 12], [7, 12], True, 'p'), 'right', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",severe,25
"[([0, 0], [12, 14], False, 'p'), 'right', ([0, 1], [12, 14], False, 'p'), 'right', ([0, 2], [12, 14], False, 'p'), 'right', ([0, 3], [12, 14], False, 'p'), 'down', ([1, 3], [12, 14], False, 'p'), 'right', ([1, 4], [12, 14], False, 'p'), 'down', ([2, 4], [12, 14], False, 'p'), 'right', ([2, 5], [12, 14], False, 'p'), 'down', ([3, 5], [12, 14], False, 'p'), 'right', ([3, 6], [12, 14], False, 'p'), 'down', ([4, 6], [12, 14], False, 'p'), 'right', ([4, 7], [12, 14], False, 'p'), 'down', ([5, 7], [12, 14], False, 'p'), 'right', ([5, 8], [12, 14], False, 'p'), 'down', ([6, 8], [12, 14], False, 'r'), 'right', ([6, 9], [12, 14], False, 'r'), 'down', ([7, 9], [12, 14], False, 'r'), 'right', ([7, 10], [12, 14], False, 'r'), 'down', ([8, 10], [12, 14], False, 'r'), 'right', ([8, 11], [12, 14], False, 'p'), 'down', ([9, 11], [12, 14], False, 'p'), 'right', ([9, 12], [12, 14], False, 'p'), 'down', ([9, 13], [12, 14], False, 'p'), 'down', ([10, 13], [12, 14], False, 'p'), 'down', ([11, 13], [12, 14], False, 'p'), 'down', ([11, 14], [12, 14], False, 'p'), 'down', ([12, 14], [12, 14], False, 'p'), 'pick_up', ([12, 14], [12, 14], True, 'p'), 'up', ([12, 13], [12, 13], True, 'p'), 'up', ([11, 13], [11, 13], True, 'p'), 'up', ([10, 13], [10, 13], True, 'p'), 'up', ([9, 13], [9, 13], True, 'p'), 'up', ([8, 13], [8, 13], True, 'p'), 'up', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",mild,35
"[([0, 0], [12, 14], False, 'p'), 'right', ([0, 1], [12, 14], False, 'p'), 'right', ([0, 2], [12, 14], False, 'p'), 'right', ([0, 3], [12, 14], False, 'p'), 'down', ([1, 3], [12, 14], False, 'p'), 'right', ([1, 4], [12, 14], False, 'p'), 'down', ([2, 4], [12, 14], False, 'p'), 'right', ([2, 5], [12, 14], False, 'p'), 'down', ([3, 5], [12, 14], False, 'p'), 'right', ([3, 6], [12, 14], False, 'p'), 'down', ([4, 6], [12, 14], False, 'p'), 'right', ([4, 7], [12, 14], False, 'p'), 'down', ([5, 7], [12, 14], False, 'p'), 'right', ([6, 7], [12, 14], False, 'r'), 'right', ([6, 8], [12, 14], False, 'r'), 'right', ([6, 9], [12, 14], False, 'r'), 'down', ([7, 9], [12, 14], False, 'r'), 'right', ([7, 10], [12, 14], False, 'r'), 'down', ([7, 11], [12, 14], False, 'p'), 'down', ([8, 11], [12, 14], False, 'p'), 'down', ([9, 11], [12, 14], False, 'p'), 'right', ([9, 12], [12, 14], False, 'p'), 'down', ([10, 12], [12, 14], False, 'p'), 'right', ([10, 13], [12, 14], False, 'p'), 'down', ([11, 13], [12, 14], False, 'p'), 'down', ([12, 13], [12, 14], False, 'p'), 'right', ([13, 13], [12, 14], False, 'p'), 'up', ([12, 13], [12, 14], False, 'p'), 'right', ([13, 13], [12, 14], False, 'p'), 'up', ([12, 13], [12, 14], False, 'p'), 'right', ([12, 14], [12, 14], False, 'p'), 'pick_up', ([12, 14], [12, 14], True, 'p'), 'up', ([11, 14], [11, 14], True, 'p'), 'up', ([10, 14], [10, 14], True, 'p'), 'up', ([10, 13], [10, 13], True, 'p'), 'up', ([9, 13], [9, 13], True, 'p'), 'up', ([8, 13], [8, 13], True, 'p'), 'up', ([7, 13], [7, 13], True, 'p'), 'right', ([8, 13], [8, 13], True, 'p'), 'up', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",mild,41
"[([0, 0], [12, 14], False, 'p'), 'right', ([0, 1], [12, 14], False, 'p'), 'right', ([0, 2], [12, 14], False, 'p'), 'right', ([0, 3], [12, 14], False, 'p'), 'down', ([1, 3], [12, 14], False, 'p'), 'right', ([1, 4], [12, 14], False, 'p'), 'down', ([2, 4], [12, 14], False, 'p'), 'right', ([2, 5], [12, 14], False, 'p'), 'down', ([3, 5], [12, 14], False, 'p'), 'right', ([3, 6], [12, 14], False, 'p'), 'down', ([4, 6], [12, 14], False, 'p'), 'right', ([5, 6], [12, 14], False, 'p'), 'right', ([5, 7], [12, 14], False, 'p'), 'right', ([5, 8], [12, 14], False, 'p'), 'down', ([5, 9], [12, 14], False, 'p'), 'down', ([6, 9], [12, 14], False, 'r'), 'down', ([7, 9], [12, 14], False, 'r'), 'right', ([7, 10], [12, 14], False, 'r'), 'down', ([7, 11], [12, 14], False, 'p'), 'down', ([8, 11], [12, 14], False, 'p'), 'down', ([9, 11], [12, 14], False, 'p'), 'right', ([9, 12], [12, 14], False, 'p'), 'down', ([10, 12], [12, 14], False, 'p'), 'right', ([10, 13], [12, 14], False, 'p'), 'down', ([11, 13], [12, 14], False, 'p'), 'down', ([12, 13], [12, 14], False, 'p'), 'right', ([12, 14], [12, 14], False, 'p'), 'pick_up', ([12, 14], [12, 14], True, 'p'), 'up', ([11, 14], [11, 14], True, 'p'), 'up', ([10, 14], [10, 14], True, 'p'), 'up', ([9, 14], [9, 14], True, 'p'), 'up', ([8, 14], [8, 14], True, 'p'), 'up', ([7, 14], [7, 14], True, 'p'), 'drop']",mild,33
"[([0, 0], [9, 8], False, 'p'), 'down', ([1, 0], [9, 8], False, 'p'), 'down', ([2, 0], [9, 8], False, 'p'), 'right', ([2, 1], [9, 8], False, 'p'), 'down', ([3, 1], [9, 8], False, 'p'), 'right', ([3, 2], [9, 8], False, 'p'), 'down', ([4, 2], [9, 8], False, 'p'), 'right', ([4, 3], [9, 8], False, 'p'), 'down', ([5, 3], [9, 8], False, 'p'), 'right', ([5, 4], [9, 8], False, 'p'), 'down', ([6, 4], [9, 8], False, 'r'), 'right', ([6, 5], [9, 8], False, 'r'), 'down', ([7, 5], [9, 8], False, 'r'), 'right', ([7, 6], [9, 8], False, 'r'), 'down', ([8, 6], [9, 8], False, 'r'), 'right', ([8, 7], [9, 8], False, 'r'), 'down', ([9, 7], [9, 8], False, 'p'), 'right', ([9, 8], [9, 8], False, 'p'), 'pick_up', ([9, 8], [9, 8], True, 'p'), 'up', ([8, 8], [8, 8], True, 'r'), 'up', ([7, 8], [7, 8], True, 'r'), 'right', ([7, 9], [7, 9], True, 'r'), 'right', ([7, 10], [7, 10], True, 'r'), 'right', ([7, 11], [7, 11], True, 'p'), 'right', ([8, 11], [8, 11], True, 'p'), 'up', ([7, 11], [7, 11], True, 'p'), 'right', ([8, 11], [8, 11], True, 'p'), 'up', ([7, 11], [7, 11], True, 'p'), 'right', ([7, 12], [7, 12], True, 'p'), 'right', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",severe,31
"[([0, 0], [7, 12], False, 'p'), 'right', ([0, 1], [7, 12], False, 'p'), 'right', ([0, 2], [7, 12], False, 'p'), 'right', ([0, 3], [7, 12], False, 'p'), 'right', ([0, 4], [7, 12], False, 'p'), 'right', ([0, 5], [7, 12], False, 'p'), 'right', ([1, 5], [7, 12], False, 'p'), 'right', ([1, 6], [7, 12], False, 'p'), 'right', ([1, 7], [7, 12], False, 'p'), 'down', ([2, 7], [7, 12], False, 'p'), 'right', ([2, 8], [7, 12], False, 'p'), 'down', ([3, 8], [7, 12], False, 'p'), 'right', ([3, 9], [7, 12], False, 'p'), 'down', ([4, 9], [7, 12], False, 'p'), 'right', ([4, 10], [7, 12], False, 'p'), 'down', ([5, 10], [7, 12], False, 'p'), 'down', ([6, 10], [7, 12], False, 'r'), 'right', ([6, 11], [7, 12], False, 'p'), 'down', ([7, 11], [7, 12], False, 'p'), 'right', ([7, 12], [7, 12], False, 'p'), 'pick_up', ([7, 12], [7, 12], True, 'p'), 'right', ([7, 13], [7, 13], True, 'p'), 'right', ([7, 14], [7, 14], True, 'p'), 'drop']",mild,23
